filepath,label
/content/illegal-parking-1/train/images/illegal-parking-113-_png.rf.5d9135d531499e2ba902fe65c6323231.jpg,Parking_Issues_Illegal_Parking
/content/illegal-parking-1/train/images/illegal-parking-416-_png.rf.0b6f09e5299c77face829f556fdbd790.jpg,Parking_Issues_Illegal_Parking
/content/illegal-parking-1/train/images/illegal-parking-713-_png.rf.74807b031e4ad5a496c2cac05e2d8729.jpg,Parking_Issues_Illegal_Parking
/content/concrete-3/train/images/000107_jpg.rf.60cee53d7054f4854d3a9c0115b37877.jpg,Infrastructure_Damage_Concrete
/content/Graffiti-1/train/images/IMG_20100101_030622_jpg.rf.c380bd3c139d9b5c31d3ab0f7d4f8398.jpg,Vandalism_Graffiti
/content/Graffiti-1/valid/images/image_185_jpg.rf.679792dd4ccb4444fb7d2ce7e61c392d.jpg,Vandalism_Graffiti
/content/damaged-signs-Hind-2/train/images/IMG_8853_jpg.rf.d0dc8f4d80baa2d86bbc69b4785ee6a0.jpg,Road_Issues_Damaged_Sign
/content/concrete-3/train/images/001270_jpg.rf.761c33bfa8d1e4e3080eb2033d51747f.jpg,Infrastructure_Damage_Concrete
/content/Graffiti-1/train/images/Vandalisme_-26678425553-_jpg.rf.2e7d7739055df0ffd2fc4610bc000705.jpg,Vandalism_Graffiti
/content/Domestic-trash-2/train/images/Datacluster-Trash-109-_jpg.rf.527da91482ebacfd97b1c895278356e4.jpg,Domestic_trash
/content/illegal-parking-1/train/images/illegal-parking-814-_png.rf.f99213f62800597a88cb9c9950d1dda2.jpg,Parking_Issues_Illegal_Parking
/content/damaged-signs-Hind-2/train/images/IMG_8275_jpg.rf.10cf9025f1f64b087d8e0fcca35b17ce.jpg,Road_Issues_Damaged_Sign
/content/Road-holes-1/valid/images/1053_jpg.rf.cfb5918d3492d29e5700912fc9ee7263.jpg,Road_Issues_Pothole
/content/damaged-signs-Hind-2/train/images/IMG_8080_jpg.rf.6f6b5663f510e96336b80863eb5814ca.jpg,Road_Issues_Damaged_Sign
/content/Road-holes-1/train/images/1108_jpg.rf.8d3b44fa20300d5c361f03c6aa247a81.jpg,Road_Issues_Pothole
/content/pothole-ek-1/test/images/images175_jpg.rf.32572caa09469716968bfb8e7e042a3a.jpg,Road_Issues_Pothole
/content/Domestic-trash-2/train/images/Datacluster-Trash-131-_jpg.rf.9317afac84a5030f55161131d4680d7a.jpg,Domestic_trash
/content/pothole-ek-1/train/images/images218_jpg.rf.a3cd53fca14257e354c6a9374c4e517b.jpg,Road_Issues_Pothole
/content/Domestic-trash-2/train/images/Datacluster-Trash-90-_jpg.rf.cebad0067c2019bb2ca6505efcd3d4ce.jpg,Domestic_trash
/content/Graffiti-1/train/images/IMG_1248_jpg.rf.d6e47955cf26f2f9bc9ec08f8c3c75dd.jpg,Vandalism_Graffiti
/content/Domestic-trash-2/valid/images/Datacluster-Trash-227-_jpg.rf.de5f0cd49d4a6a290773135a32709591.jpg,Domestic_trash
/content/Domestic-Trash--1/test/images/Datacluster-Trash-42-_jpg.rf.72b20e5519549dce4d2c256cd8256b5e.jpg,Domestic_trash
